Date;Group;Series;Value
30/01/2009;Treasury Bills;SE 12M;1.041
02/02/2009;Treasury Bills;SE 12M;1.046
03/02/2009;Treasury Bills;SE 12M;1.002
04/02/2009;Treasury Bills;SE 12M;1.056
05/02/2009;Treasury Bills;SE 12M;1.006
06/02/2009;Treasury Bills;SE 12M;1.056
09/02/2009;Treasury Bills;SE 12M;1.036
10/02/2009;Treasury Bills;SE 12M;1.005
11/02/2009;Treasury Bills;SE 12M;0.786
12/02/2009;Treasury Bills;SE 12M;0.78
13/02/2009;Treasury Bills;SE 12M;0.755
16/02/2009;Treasury Bills;SE 12M;0.671
17/02/2009;Treasury Bills;SE 12M;0.586
18/02/2009;Treasury Bills;SE 12M;0.576
19/02/2009;Treasury Bills;SE 12M;0.56
20/02/2009;Treasury Bills;SE 12M;0.535
23/02/2009;Treasury Bills;SE 12M;0.50
24/02/2009;Treasury Bills;SE 12M;0.47
25/02/2009;Treasury Bills;SE 12M;0.445
26/02/2009;Treasury Bills;SE 12M;0.455
27/02/2009;Treasury Bills;SE 12M;0.46
02/03/2009;Treasury Bills;SE 12M;0.445
03/03/2009;Treasury Bills;SE 12M;0.47
04/03/2009;Treasury Bills;SE 12M;0.46
05/03/2009;Treasury Bills;SE 12M;0.455
06/03/2009;Treasury Bills;SE 12M;0.435
09/03/2009;Treasury Bills;SE 12M;0.46
10/03/2009;Treasury Bills;SE 12M;0.395
11/03/2009;Treasury Bills;SE 12M;0.43
12/03/2009;Treasury Bills;SE 12M;0.405
13/03/2009;Treasury Bills;SE 12M;0.40
16/03/2009;Treasury Bills;SE 12M;0.365
17/03/2009;Treasury Bills;SE 12M;0.38
18/03/2009;Treasury Bills;SE 12M;0.306
19/03/2009;Treasury Bills;SE 12M;0.306
20/03/2009;Treasury Bills;SE 12M;0.285
23/03/2009;Treasury Bills;SE 12M;0.33
24/03/2009;Treasury Bills;SE 12M;0.335
25/03/2009;Treasury Bills;SE 12M;0.301
26/03/2009;Treasury Bills;SE 12M;0.29
27/03/2009;Treasury Bills;SE 12M;0.26
30/03/2009;Treasury Bills;SE 12M;0.265
31/03/2009;Treasury Bills;SE 12M;0.225
01/04/2009;Treasury Bills;SE 12M;0.241
02/04/2009;Treasury Bills;SE 12M;0.255
03/04/2009;Treasury Bills;SE 12M;0.265
06/04/2009;Treasury Bills;SE 12M;0.251
07/04/2009;Treasury Bills;SE 12M;0.225
08/04/2009;Treasury Bills;SE 12M;0.206
09/04/2009;Treasury Bills;SE 12M;0.185
14/04/2009;Treasury Bills;SE 12M;0.19
15/04/2009;Treasury Bills;SE 12M;0.15
16/04/2009;Treasury Bills;SE 12M;0.16
17/04/2009;Treasury Bills;SE 12M;0.179
20/04/2009;Treasury Bills;SE 12M;0.159
21/04/2009;Treasury Bills;SE 12M;0.266
22/04/2009;Treasury Bills;SE 12M;0.305
23/04/2009;Treasury Bills;SE 12M;0.32
24/04/2009;Treasury Bills;SE 12M;0.391
27/04/2009;Treasury Bills;SE 12M;0.345
28/04/2009;Treasury Bills;SE 12M;0.345
29/04/2009;Treasury Bills;SE 12M;0.35
30/04/2009;Treasury Bills;SE 12M;0.355
04/05/2009;Treasury Bills;SE 12M;0.36
05/05/2009;Treasury Bills;SE 12M;0.40
06/05/2009;Treasury Bills;SE 12M;0.386
07/05/2009;Treasury Bills;SE 12M;0.451
08/05/2009;Treasury Bills;SE 12M;0.405
11/05/2009;Treasury Bills;SE 12M;0.40
12/05/2009;Treasury Bills;SE 12M;0.43
13/05/2009;Treasury Bills;SE 12M;0.431
14/05/2009;Treasury Bills;SE 12M;0.431
15/05/2009;Treasury Bills;SE 12M;0.446
18/05/2009;Treasury Bills;SE 12M;0.45
19/05/2009;Treasury Bills;SE 12M;0.455
20/05/2009;Treasury Bills;SE 12M;0.47
22/05/2009;Treasury Bills;SE 12M;0.475
25/05/2009;Treasury Bills;SE 12M;0.47
26/05/2009;Treasury Bills;SE 12M;0.485
27/05/2009;Treasury Bills;SE 12M;0.48
28/05/2009;Treasury Bills;SE 12M;0.49
29/05/2009;Treasury Bills;SE 12M;0.50
01/06/2009;Treasury Bills;SE 12M;0.495
02/06/2009;Treasury Bills;SE 12M;0.475
