Date;Group;Series;Value
09/09/1999;Swedish Government Bonds;SE GVB 10Y;5.73
10/09/1999;Swedish Government Bonds;SE GVB 10Y;5.71
13/09/1999;Swedish Government Bonds;SE GVB 10Y;5.76
14/09/1999;Swedish Government Bonds;SE GVB 10Y;5.765
15/09/1999;Swedish Government Bonds;SE GVB 10Y;5.75
16/09/1999;Swedish Government Bonds;SE GVB 10Y;5.74
17/09/1999;Swedish Government Bonds;SE GVB 10Y;5.675
20/09/1999;Swedish Government Bonds;SE GVB 10Y;5.69
21/09/1999;Swedish Government Bonds;SE GVB 10Y;5.735
22/09/1999;Swedish Government Bonds;SE GVB 10Y;5.72
23/09/1999;Swedish Government Bonds;SE GVB 10Y;5.72
24/09/1999;Swedish Government Bonds;SE GVB 10Y;5.66
27/09/1999;Swedish Government Bonds;SE GVB 10Y;5.66
